epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.284,1.34609,1.81078,1.10598,0.91777,0.42891,0.44429,0.26242,1.37273,1.21944,1.05546,0.000551937,0.000551937,0.000551937
2,451.487,1.20324,1.05422,1.02795,0.68324,0.5303,0.55033,0.31735,1.27181,1.02884,1.01784,0.00110652,0.00110652,0.00110652
3,644.317,1.1354,0.93381,0.99493,0.73837,0.55762,0.58026,0.30523,1.33505,1.01419,1.02993,0.00165678,0.00165678,0.00165678
4,856.52,1.10095,0.88266,0.98111,0.7859,0.59134,0.60855,0.33142,1.28019,0.94943,1.02561,0.00165238,0.00165238,0.00165238
5,1073.11,1.00373,0.80916,0.94894,0.75124,0.58902,0.60336,0.34368,1.23638,0.89473,1.00777,0.00164108,0.00164108,0.00164108
6,1298.12,0.95663,0.75859,0.93065,0.75041,0.61446,0.63048,0.35264,1.23792,0.85721,1.01913,0.00162661,0.00162661,0.00162661
7,1604.96,0.92987,0.70938,0.92086,0.74514,0.61481,0.62551,0.33749,1.26792,0.85401,1.0128,0.00160905,0.00160905,0.00160905
8,1851.67,0.87689,0.67001,0.90673,0.74587,0.58843,0.61039,0.34954,1.20124,0.82421,1.00909,0.00158847,0.00158847,0.00158847
9,2050.87,0.8065,0.6278,0.88828,0.75682,0.61601,0.62503,0.35739,1.22015,0.82071,1.0124,0.00156493,0.00156493,0.00156493
10,2273.71,0.78792,0.61121,0.88404,0.68054,0.60756,0.59297,0.33639,1.2497,0.82638,1.01977,0.00153854,0.00153854,0.00153854
11,2486.24,0.72711,0.56624,0.87035,0.72294,0.62351,0.61696,0.34571,1.22948,0.80583,1.01096,0.00150941,0.00150941,0.00150941
12,2711.88,0.69678,0.54012,0.86237,0.75666,0.60322,0.62281,0.34612,1.21743,0.80171,1.02163,0.00147764,0.00147764,0.00147764
13,2998.48,0.67017,0.52296,0.85697,0.71257,0.60991,0.61343,0.3467,1.22149,0.78969,1.01131,0.00144335,0.00144335,0.00144335
14,3289.25,0.66227,0.51412,0.8523,0.76266,0.60882,0.61629,0.34735,1.22795,0.78628,1.01793,0.0014067,0.0014067,0.0014067
15,3524.98,0.60225,0.47809,0.84226,0.79546,0.56426,0.60752,0.34291,1.23545,0.78194,1.01887,0.00136781,0.00136781,0.00136781
16,3864.5,0.57907,0.46006,0.83705,0.72195,0.61252,0.61123,0.34061,1.23001,0.78724,1.02195,0.00132685,0.00132685,0.00132685
17,4175.88,0.55056,0.44232,0.83051,0.6764,0.61556,0.59227,0.33904,1.21778,0.76309,1.01515,0.00128398,0.00128398,0.00128398
18,4514.59,0.55007,0.43437,0.82909,0.72199,0.60723,0.60958,0.33967,1.22555,0.76601,1.02307,0.00123936,0.00123936,0.00123936
19,4724.28,0.51304,0.41625,0.82265,0.68199,0.60389,0.59402,0.34322,1.22694,0.76163,1.02227,0.00119317,0.00119317,0.00119317
